대분류,소분류,품목,최종확인 년도,분류코드,개수,관리번호,자산번호,제조사,모델명,취득일,취득가,위치,세부위치,구분,책상 H-DE,의자 H-HM,서랍 H-DR
1. 해긴 비품 리스트,탕비실&카페테리아,카페 기자재,2026년도,CF,1.0,005,H-CF-005,나이스산업,NS-3000 (핫워터 디스펜서),2022-09-01 00:00:00,550000.0,39F,사내카페,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페 기자재,2026년도,CF,1.0,006,H-CF-006,카이저,IMK-55W (수냉식 제빙기),2023-02-01 00:00:00,1507000.0,39F,사내카페,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페 기자재,2026년도,CF,1.0,007,H-CF-007,카이저,NK-63W (수냉식 제빙기),2026-03-01 00:00:00,1200000.0,39F,사내카페,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페 기자재,2026년도,CF,1.0,008,H-CF-008,아이스틸,아이스틸 1500 (카페 냉장고),2022-09-01 00:00:00,880000.0,39F,사내카페,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페 기자재,2026년도,CF,1.0,009,H-CF-009,빅솔론,SPR-E300 (영수증 프린터),2022-09-01 00:00:00,165000.0,39F,사내카페,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페 기자재,2026년도,CF,1.0,010,H-CF-010,키첸,KCBL100 (진공블렌더),2023-08-01 00:00:00,363100.0,39F,사내카페,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페 기자재,2026년도,CF,1.0,011,H-CF-011,쿠잉전자,RS-S50B (미니 냉장고),2024-03-01 00:00:00,179000.0,39F,사내카페,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페 기자재,2026년도,CF,1.0,012,H-CF-012,캐리어,CIC-322 (아이스크림 기계),2024-02-01 00:00:00,3080000.0,39F,사내카페,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페 기자재,2026년도,T,1.0,001,H-T-001,삼성전자,갤럭시탭 S8 울트라,2025-12-01 00:00:00,819000.0,39F,사내카페,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페테리아,2026년도,LT,16.0,001 ~ 016,H-LT-001 ~ 016,퍼시스,,2022-08-01 00:00:00,,38F,카페테리아,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페테리아,2026년도,LT,25.0,017 ~ 041,H-LT-017 ~ 041,퍼시스,,2022-08-01 00:00:00,,39F,카페테리아,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페테리아,2026년도,LT,8.0,042 ~ 049,H-LT-042 ~ 049,퍼시스,,2022-08-01 00:00:00,,40F,카페테리아,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페테리아,2026년도,LC,36.0,001 ~ 036,H-LC-001 ~ 036,퍼시스,,2022-08-01 00:00:00,,38F,카페테리아,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페테리아,2026년도,LC,63.0,037 ~ 099,H-LC-037 ~ 099,퍼시스,,2022-08-01 00:00:00,,39F,카페테리아,,,,
1. 해긴 비품 리스트,탕비실&카페테리아,카페테리아,2026년도,LC,11.0,100 ~ 110,H-LC-100 ~ 110,퍼시스,,2022-08-01 00:00:00,,40F,카페테리아,,,,
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,1.0,202.0,206.0,191
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,2.0,1.0,107.0,209
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,3.0,336.0,207.0,232
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,4.0,201.0,336.0,81
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,5.0,8.0,193.0,204
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,6.0,3.0,210.0,206
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,7.0,7.0,9.0,341
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,8.0,69.0,72.0,193
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,9.0,2.0,5.0,375
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,10.0,4.0,11.0,117
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,11.0,6.0,7.0,207
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,12.0,203.0,125.0,203
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,13.0,205.0,77.0,192
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,14.0,204.0,330.0,171
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,15.0,209.0,10.0,327
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,16.0,330.0,191.0,235
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,17.0,9.0,63.0,125
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,18.0,10.0,341.0,113
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,19.0,641.0,4.0,224
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,20.0,83.0,76.0,77
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,21.0,80.0,205.0,330
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,22.0,208.0,94.0,80
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,23.0,199.0,85.0,111
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,24.0,207.0,2.0,87
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,25.0,210.0,209.0,236
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,26.0,84.0,357.0,336
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,27.0,82.0,187.0,205
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,28.0,75.0,1.0,208
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,29.0,64.0,203.0,210
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,30.0,73.0,3.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,31.0,71.0,188.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,32.0,72.0,78.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,33.0,74.0,8.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,34.0,78.0,232.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,35.0,5.0,54.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,36.0,79.0,87.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,37.0,77.0,117.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,38.0,76.0,204.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,39.0,70.0,6.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,40.0,68.0,92.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,41.0,206.0,326.0,번호없음
1. 해긴 비품 리스트,하이퍼라이즈 대여 비품,,,,,,,,,,,,,42.0,200.0,91.0,번호없음
